Warning: truncated output (original token count: 98787)
Total output lines: 1001

rank,category,title,original_title,year,end_year,title_type,runtime_minutes,genres,imdb_id,imdb_rating,imdb_votes,popularity_score,confidence,ranking_basis,nl_signal,nl_alias,nl_alias_count,nl_boxoffice_rank,nl_boxoffice_visits_thousands,trakt_id,tmdb_id,trakt_rank,trakt_list_rank,trakt_watchers,trakt_plays,trakt_collected,language,country,studio_or_network,age_rating_raw,age_category,age_rating_source,metadata_confidence,inclusion_reason,metadata_source,source_trakt,source_imdb,source_nl
47,film,Oppenheimer,Oppenheimer,2023,,movie,180,"Biography,Drama,History",tt15398776,8.2,1077761,99.9771,high,NVPI Nederlandse bioscoopbezoekers,IMDb NL alternate title,Oppenheimer,1,47,1742,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,https://www.imdb.com/title/tt15398776/,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
48,film,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,1975,,movie,133,Drama,tt0073486,8.6,1162461,99.9766,high,NVPI Nederlandse bioscoopbezoekers,IMDb NL alternate title,Vlucht boven een koekoeksnest,1,48,1711,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,https://www.imdb.com/title/tt0073486/,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
49,film,The Super Mario Bros. Movie,The Super Mario Bros. Movie,2023,,movie,92,"Adventure,Animation,Comedy",tt6718170,7.0,299876,99.9761,high,NVPI Nederlandse bioscoopbezoekers,No direct NL signal; IMDb global popularity proxy,,0,49,1689,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,https://www.imdb.com/title/tt6718170/,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
50,film,Dirty Dancing,Dirty Dancing,1987,,movie,100,"Drama,Music,Romance",tt0092890,7.1,282746,99.9756,high,NVPI Nederlandse bioscoopbezoekers,IMDb NL alternate title,Dirty Dancing,1,50,1665,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,https://www.imdb.com/title/tt0092890/,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
51,film,The Godfather,The Godfather,1972,,movie,175,"Crime,Drama",tt0068646,9.2,2243598,50.2071,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,De peetvader,1,,,196,238,,1,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0068646/,
52,film,Schindler's List,Schindler's List,1993,,movie,195,"Biography,Drama,History",tt0108052,9.0,1595463,50.2066,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Schindler's List,1,,,336,424,,2,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0108052/,
53,film,Parasite,Gisaengchung,2019,,movie,132,"Drama,Thriller",tt6751668,8.5,1183313,50.2061,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Gisaengchung,1,,,343180,496243,,3,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt6751668/,
54,film,Grave of the Fireflies,Hotaru no haka,1988,,movie,88,"Animation,Drama,War",tt0095327,8.5,392118,50.2056,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Grave of the Fireflies,1,,,7251,12477,,4,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0095327/,
55,film,The Godfather Part II,The Godfather Part II,1974,,movie,202,"Crime,Drama",tt0071562,9.0,1505038,50.2051,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,De peetvader: Deel II,1,,,198,240,,5,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0071562/,
56,film,GoodFellas,GoodFellas,1990,,movie,145,"Biography,Crime,Drama",tt0099685,8.7,1404259,50.2046,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Goodfellas,1,,,612,769,,6,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0099685/,
57,film,Spirited Away,Sen to Chihiro no kamikakushi,2001,,movie,124,"Adventure,Animation,Family",tt0245429,8.6,978188,50.2042,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,De reis van Chihiro,2,,,97,129,,7,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0245429/,
58,film,The Dark Knight,The Dark Knight,2008,,movie,152,"Crime,Thriller",tt0468569,9.1,3203331,50.2037,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,The Dark Knight,1,,,120,155,,8,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0468569/,
59,film,Spider-Man: Across the Spider-Verse,Spider-Man: Across the Spider-Verse,2023,,movie,140,"Action,Adventure,Animation",tt9362722,8.5,540608,50.2032,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",No direct NL signal; IMDb global popularity proxy,,0,,,420606,569094,,9,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt9362722/,
60,film,Pulp Fiction,Pulp Fiction,1994,,movie,154,"Crime,Drama",tt0110912,8.8,2454491,50.2027,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Pulp Fiction,1,,,554,680,,10,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0110912/,
